,show_id,show_title,brand,union_id,xmin,ymin,xmax,ymax,gender,season,style,category,collar,sleeve,sleeve_type,fabric,contour,clothes_length,technology,texture,accessories,path,done,ori_w,ori_h,ratio,aesthetic,cv_var,cv_lightness,cv_saturation,caption-base,caption-large,face_count,face_loc,face_col,weight,view,look_at_viewer,color_3,color_2,color_1,prompt_image,prompt_clothes,tgt_w,tgt_h
14365,8968dc5f90f5353d27aa5158c6ed082c,2020春夏东京Rabd成衣,Rabd,33_b137c7d57732691aaac86778e434025a,0.1224,0.2155,0.8147,0.7993,男装,秋冬,工装风,皮夹克,立领,中长袖,基础袖,皮革面料,H型,中款,无工艺,纯色,功能拉链#基础拉链,imgs/show_768/faddc2c3eaa8afb0f574566a8f1a3570_1265bb39b58084f1709564568ec2447a.png,True,2574.0,3861.0,0.67,5.26194429397583,627.9394497050291,75.69089197229457,75.24895336009838,a man in a black leather jacket and purple pants,arafed man in a black leather jacket and purple pants,1.0,"(121, 448, 258, 311)",0.0,1.0,2.0,False,踢踏舞鞋色,深黑,黑白灰,"a mid-length body view photo , a man in a black leather jacket and purple pants , White Race","Man's Clothes for Autumn and Winter , Tooling Style Achromatic Color Leather Jacket , M Size , Stand Collar , Medium Long Sleeve in Basic Sleeves Type, Leather Fabric , H-Line Contour , No process Making Technology , Solid Color Texture , Functional Zipper & Basic Zipper Accessories",768,1152
15477,eff24112a382f72c9ffd9921551c554a,2018春夏伦敦St. James's成衣,St. James's,33_38ebf9de08e05af237f4a8e875129906,0.3609,0.397,0.6325,0.8989,男装,春夏,都市,中长裤,立领,中长袖,基础袖,正装面料,,长款,无工艺,纯色,基础扣饰,imgs/show_768/55d356841e8524c45a213fb7cebc6719_713bb5932ccee65a4f8da4fffbca6545.png,True,2114.0,3184.0,0.66,5.671924591064453,121.34215111946575,171.2391402633102,40.57851155598959,a model walks down the runway at the hermes show,arafed man in a yellow jacket and blue pants walking down a runway,1.0,"(69, 435, 164, 341)",3.0,1.0,3.0,False,冰水#羊绒蓝,梦幻蓝#柔和蓝,蓝色,"a full body view photo , a model walks down the runway at the hermes show , Black Race","Man's Clothes for Spring and Summer , Urban Style Blue Color Middle Trousers , L Size , Stand Collar , Medium Long Sleeve in Basic Sleeves Type, Suit Fabrics Fabric , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
15478,eff24112a382f72c9ffd9921551c554a,2018春夏伦敦St. James's成衣,St. James's,33_38ebf9de08e05af237f4a8e875129906,0.272,0.1376,0.7067,0.5437,男装,春夏,都市,西服,翻驳领,中长袖,基础袖,正装面料,H型,中款,无工艺,纯色,基础扣饰,imgs/show_768/55d356841e8524c45a213fb7cebc6719_713bb5932ccee65a4f8da4fffbca6545.png,True,2114.0,3184.0,0.66,5.671924591064453,121.34215111946575,171.2391402633102,40.57851155598959,a model walks down the runway at the hermes show,arafed man in a yellow jacket and blue pants walking down a runway,1.0,"(69, 435, 164, 341)",3.0,1.0,3.0,False,漂白砂色#芦笋白,羊皮纸色#银白,大地色,"a full body view photo , a model walks down the runway at the hermes show , Black Race","Man's Clothes for Spring and Summer , Urban Style Earth Tone Color Blazer , M Size , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Suit Fabrics Fabric , H-Line Contour , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
15479,eff24112a382f72c9ffd9921551c554a,2018春夏伦敦St. James's成衣,St. James's,33_38ebf9de08e05af237f4a8e875129906,0.6954,0.4023,0.9499,0.756,男装,秋冬,日常休闲,中长裤,,,基础袖,化纤,,长款,无工艺,纯色,,imgs/show_768/55d356841e8524c45a213fb7cebc6719_713bb5932ccee65a4f8da4fffbca6545.png,True,2114.0,3184.0,0.66,5.671924591064453,121.34215111946575,171.2391402633102,40.57851155598959,a model walks down the runway at the hermes show,arafed man in a yellow jacket and blue pants walking down a runway,1.0,"(69, 435, 164, 341)",3.0,1.0,3.0,False,夜雾色#青铜色,灰白色#青铜,黑白灰,"a full body view photo , a model walks down the runway at the hermes show , Black Race","Man's Clothes for Autumn and Winter , Daily Leisure Style Achromatic Color Middle Trousers , L Size , Chemical Fabric , No process Making Technology , Solid Color Texture",768,1152
15480,eff24112a382f72c9ffd9921551c554a,2018春夏伦敦St. James's成衣,St. James's,33_38ebf9de08e05af237f4a8e875129906,0.6282,0.0704,0.9957,0.4281,男装,秋冬,日常休闲,西服,翻领,中长袖,基础袖,正装面料,H型,中款,无工艺,纯色,基础扣饰,imgs/show_768/55d356841e8524c45a213fb7cebc6719_713bb5932ccee65a4f8da4fffbca6545.png,True,2114.0,3184.0,0.66,5.671924591064453,121.34215111946575,171.2391402633102,40.57851155598959,a model walks down the runway at the hermes show,arafed man in a yellow jacket and blue pants walking down a runway,1.0,"(69, 435, 164, 341)",3.0,1.0,3.0,False,烟松色#树篱绿#暗海湾绿色,烟松绿#草皮绿#暗海湾绿,绿色,"a full body view photo , a model walks down the runway at the hermes show , Black Race","Man's Clothes for Autumn and Winter , Daily Leisure Style Green Color Blazer , M Size , Lapel Collar , Medium Long Sleeve in Basic Sleeves Type, Suit Fabrics Fabric , H-Line Contour , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
16632,2b2ef9e0955f4412725bac74333ae162,19/20秋冬米兰Stefano De Lellis成衣,Stefano De Lellis,33_1eff1daf8822b0b606b7420181be355e,0.3024,0.1799,0.7079,0.9738,女装,春夏,浪漫/淑女,礼服,圆形领,中长袖,羊腿袖,特殊面料,不对称,长款,开衩,撞色/渐变,,imgs/show_768/5c6586205177131636b9c0f89a9f5b13_b9ec2a9616e66e2db59c4afb02731294.png,True,2136.0,3201.0,0.67,5.060962200164795,1393.2468648566582,212.93523152669272,41.91269712094908,a woman in a black dress and boots posing,araffe woman in a black and white dress and boots posing for a picture,1.0,"(98, 464, 193, 369)",2.0,1.0,3.0,False,踢踏舞鞋色#柠檬色,深黑#樱草黄,黑白灰#黄色,"a full body view photo , a woman in a black dress and boots posing","Women's Clothes for Spring and Summer , Romance / Lady Style Achromatic & Yellow Color Dresses , L Size , Round Neck Collar , Medium Long Sleeve in Mutton-Leg Sleeves Type, Special Fabric , Asymmetric Contour , Slit Making Technology , Bump / Gradient Texture",768,1152
17414,fa87132c1c1d99361d22650b40aa244e,2018春夏米兰Au Jour Le Jour成衣,Au Jour Le Jour,33_89bcc86cb0bb3ceb367afeae46a98551,0.2765,0.159,0.7149,0.5242,女装,春夏,浪漫/淑女,衬衫,衬衫领,中长袖,基础袖,化纤,常规型,无法确定,撞色线迹#边缘装饰,撞色/渐变,基础扣饰,imgs/show_768/8c12a102aee2f2ce28685014c5cc23e6_ef2859be88a3cad0908960e512ce2dc5.png,True,2564.0,3861.0,0.66,5.063220024108887,224.93763605459228,101.62699494538484,31.48187934027778,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,arafed image of a model walking down a runway wearing a blue shirt and tan skirt,1.0,"(92, 419, 171, 340)",0.0,1.0,3.0,False,贡蓝#蓝图色#灰羽色,暗深蓝#海军蓝#羽毛灰,蓝色#紫色#大地色,"a full body view photo , a model walks the runway at the maison , White Race","Women's Clothes for Spring and Summer , Romance / Lady Style Blue & Purple & Earth Tone Color Shirt , Shirt Collar , Medium Long Sleeve in Basic Sleeves Type, Chemical Fabric , Conventional Contour , Contrast Stitch & Edge Decoration Making Technology , Bump / Gradient Texture , Basic Buckle Accessories",768,1152
17415,fa87132c1c1d99361d22650b40aa244e,2018春夏米兰Au Jour Le Jour成衣,Au Jour Le Jour,33_89bcc86cb0bb3ceb367afeae46a98551,0.3081,0.3421,0.6775,0.7335,女装,春夏,浪漫/淑女,半身裙,翻驳领,中长袖,,化纤,A型,长款,边缘装饰,纯色,基础扣饰,imgs/show_768/8c12a102aee2f2ce28685014c5cc23e6_ef2859be88a3cad0908960e512ce2dc5.png,True,2564.0,3861.0,0.66,5.063220024108887,224.93763605459228,101.62699494538484,31.48187934027778,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,arafed image of a model walking down a runway wearing a blue shirt and tan skirt,1.0,"(92, 419, 171, 340)",0.0,1.0,3.0,False,灰羽色#夜蓝色,羽毛灰#蔷薇辉石,大地色#紫色,"a full body view photo , a model walks the runway at the maison , White Race","Women's Clothes for Spring and Summer , Romance / Lady Style Earth Tone & Purple Color Skirt , L Size , Revers Collar , Chemical Fabric , A-Line Contour , Edge Decoration Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
17416,fa87132c1c1d99361d22650b40aa244e,2018春夏米兰Au Jour Le Jour成衣,Au Jour Le Jour,33_89bcc86cb0bb3ceb367afeae46a98551,0.3229,0.3416,0.6463,0.5941,女装,春夏,都市,半身裙,连帽领,中长袖,无袖,化纤,A型,短款,边缘装饰,纯色,基础扣饰,imgs/show_768/8c12a102aee2f2ce28685014c5cc23e6_ef2859be88a3cad0908960e512ce2dc5.png,True,2564.0,3861.0,0.66,5.063220024108887,224.93763605459228,101.62699494538484,31.48187934027778,a model walks the runway at the maison maison maison maison maison maison maison maison maison maison maison maison,arafed image of a model walking down a runway wearing a blue shirt and tan skirt,1.0,"(92, 419, 171, 340)",0.0,1.0,3.0,False,灰羽色,羽毛灰,大地色,"a full body view photo , a model walks the runway at the maison , White Race","Women's Clothes for Spring and Summer , Urban Style Earth Tone Color Skirt , S Size , Hoodie Collar , Medium Long Sleeve in Sleeveless Type, Chemical Fabric , A-Line Contour , Edge Decoration Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
19391,ec0ec43f441c31a8a9d3afbad4ee98f4,19/20秋冬巴黎EDITIONS M.R成衣,EDITIONS M.R,33_22ed76278f2e6be4954343ada4c18d8d,0.3799,0.234,0.7291,0.5415,女装,春夏,都市,西服,翻驳领,中长袖,基础袖,正装面料,H型,中款,无工艺,格纹/菱格,基础扣饰,imgs/show_768/7d1c0685749f06b4eb7dc85a7524c5c5_5da6d9889ca4709e8f40f21e73d247f0.png,True,2732.0,4098.0,0.67,5.386110305786133,273.37515246748416,176.41368272569446,50.85873187029803,a woman sitting on a pile of pillows in a room,arafed woman in a plaid jacket and black skirt sitting on a pile of bags,1.0,"(196, 451, 275, 372)",0.0,1.0,3.0,True,夜蓝色#安道尔红#棕褐色,蔷薇辉石#褐红色#丁香色,紫色#红色#大地色,"a full body view photo , a woman sitting on a pile of pillows in a room , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Urban Style Purple & Red & Earth Tone Color Blazer , M Size , Revers Collar , Medium Long Sleeve in Basic Sleeves Type, Suit Fabrics Fabric , H-Line Contour , No process Making Technology , Grid / Rhombie Texture , Basic Buckle Accessories",768,1152
19392,ec0ec43f441c31a8a9d3afbad4ee98f4,19/20秋冬巴黎EDITIONS M.R成衣,EDITIONS M.R,33_22ed76278f2e6be4954343ada4c18d8d,0.4363,0.4065,0.705,0.5908,女装,春夏,都市,半身裙,,,无袖,化纤,H型,短款,无工艺,纯色,基础扣饰,imgs/show_768/7d1c0685749f06b4eb7dc85a7524c5c5_5da6d9889ca4709e8f40f21e73d247f0.png,True,2732.0,4098.0,0.67,5.386110305786133,273.37515246748416,176.41368272569446,50.85873187029803,a woman sitting on a pile of pillows in a room,arafed woman in a plaid jacket and black skirt sitting on a pile of bags,1.0,"(196, 451, 275, 372)",0.0,1.0,3.0,True,夜蓝色,蔷薇辉石,紫色,"a full body view photo , a woman sitting on a pile of pillows in a room , White Race , Look_at_viewer","Women's Clothes for Spring and Summer , Urban Style Purple Color Skirt , S Size , Chemical Fabric , H-Line Contour , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
19833,b14d0076b4fa00a8c15eb4f39d7c2404,23/24秋冬米兰James成衣,James,33_8bbc4b941d63c8366eae40927612ffe4,0.3689,0.4116,0.6557,0.9224,男装,秋冬,家居服,中长裤,,,基础袖,化纤,H型,超长款,无工艺,纯色,,imgs/show_768/644040db18f650b96f6016948bda0c10_58207b04cb8598bc7345468324c26261.png,True,1667.0,2500.0,0.67,5.485177993774414,395.9983903220324,82.982342755353,55.69005217375579,a woman walking down a runway wearing a black coat,arafed image of a man walking down a runway wearing a black coat and orange scarf,1.0,"(89, 435, 183, 341)",0.0,1.0,3.0,False,踢踏舞鞋色,深黑,黑白灰,"a full body view photo , a woman walking down a runway wearing a black coat , White Race","Man's Clothes for Autumn and Winter , Leisure Wear Style Achromatic Color Middle Trousers , XL Size , Chemical Fabric , H-Line Contour , No process Making Technology , Solid Color Texture",768,1152
19834,b14d0076b4fa00a8c15eb4f39d7c2404,23/24秋冬米兰James成衣,James,33_8bbc4b941d63c8366eae40927612ffe4,0.2184,0.1344,0.7546,0.8192,男装,秋冬,家居服,大衣 / 风衣,,,裘毛袖,呢绒,H型,长款,无工艺,纯色,基础扣饰,imgs/show_768/644040db18f650b96f6016948bda0c10_58207b04cb8598bc7345468324c26261.png,True,1667.0,2500.0,0.67,5.485177993774414,395.9983903220324,82.982342755353,55.69005217375579,a woman walking down a runway wearing a black coat,arafed image of a man walking down a runway wearing a black coat and orange scarf,1.0,"(89, 435, 183, 341)",0.0,1.0,3.0,False,踢踏舞鞋色,深黑,黑白灰,"a full body view photo , a woman walking down a runway wearing a black coat , White Race","Man's Clothes for Autumn and Winter , Leisure Wear Style Achromatic Color Overcoat , L Size , Wool Fabric , H-Line Contour , No process Making Technology , Solid Color Texture , Basic Buckle Accessories",768,1152
20363,4dacbb469de9899d354ca994b857fe93,23/24秋冬伦敦Iann Dey成衣,Iann Dey,33_75f02233dbea1ddc18ddb8f9101da9b9,0.3274,0.2339,0.6149,0.9204,女装,春夏,精致/奢华,礼服,V领,无袖,无袖,特殊面料,S型,超长款,钉珠-亮片,立体花,毛条,imgs/show_768/772d64739750f7081be11b69fdd147a8_2f60be4bf16b5dc6d3e38c3ab417e380.png,True,3861.0,2574.0,1.5,5.223867893218994,1037.8425494925011,168.45248187029804,62.83423303674768,a model walks the runway in a gold gown with feathers,araffes in a dress walking down a runway with a red dress,1.0,"(164, 355, 243, 276)",2.0,1.0,3.0,True,面包皮色,杏仁黄,大地色,"a full body view photo , a model walks the runway in a gold gown with feathers , Look_at_viewer","Women's Clothes for Spring and Summer , Refined / Luxurious Style Earth Tone Color Dresses , XL Size , V-Neck Collar , Sleeveless , Special Fabric , S-Line Contour , Nail Beads Sequins Making Technology , Tridimensional Flower Texture , Fur-Lined Accessories",768,1152
20528,ecb19231154f6e6c56637cb50c88c3ae,22/23秋冬巴黎Iann Dey成衣,Iann Dey,33_fee711f78006668fe0f17c112f7c922d,0.3664,0.2802,0.6453,0.9503,女装,秋冬,宫廷,半身裙,,,,雪纺,A型,超长款,无工艺,格纹/菱格,,imgs/show_768/a4696dcd1bdd5f8f3a0ec66294acc40d_4e7ba551b8622215be20e3255d519610.png,True,2574.0,3861.0,0.67,5.187337875366211,4170.705798743435,152.95047788266783,72.80068404586227,a model in a blue gown and pink flower,a woman in a blue dress and a blue cape on a runway,1.0,"(84, 427, 163, 348)",0.0,1.0,3.0,True,电光蓝,董青石蓝,蓝色,"a full body view photo , a model in a blue gown and pink flower , White Race , Look_at_viewer","Women's Clothes for Autumn and Winter , Court Style Blue Color Skirt , XL Size , Chiffon Fabric , A-Line Contour , No process Making Technology , Grid / Rhombie Texture",768,1152
20529,ecb19231154f6e6c56637cb50c88c3ae,22/23秋冬巴黎Iann Dey成衣,Iann Dey,33_fee711f78006668fe0f17c112f7c922d,0.0253,0.129,0.9565,0.9443,女装,秋冬,民族风,大衣 / 风衣,翻领,中长袖,,防护功能,A型,超长款,抽褶,条纹/波纹,基础扣饰,imgs/show_768/a4696dcd1bdd5f8f3a0ec66294acc40d_4e7ba551b8622215be20e3255d519610.png,True,2574.0,3861.0,0.67,5.187337875366211,4170.705798743435,152.95047788266783,72.80068404586227,a model in a blue gown and pink flower,a woman in a blue dress and a blue cape on a runway,1.0,"(84, 427, 163, 348)",0.0,1.0,3.0,True,电光蓝#强蓝色,董青石蓝#强力蓝,蓝色,"a full body view photo , a model in a blue gown and pink flower , White Race , Look_at_viewer","Women's Clothes for Autumn and Winter , Ethnic Style Blue Color Overcoat , XL Size , Lapel Collar , Protection Function Fabric , A-Line Contour , Shir Making Technology , Stripe / Ripple Texture , Basic Buckle Accessories",768,1152
22311,c827989f3f5b84543e9081accec1526f,20/21秋冬马德里Angel Schlesser成衣,Angel Schlesser,33_3c73134208bcff36f5046768d7455d87,0.3768,0.6934,0.6013,0.9372,女装,秋冬,精致/奢华,中长裤,,,,化纤,O型,超长款,无工艺,纯色,,imgs/show_768/094c69d74ac01040de31ab5943dd2424_16ec222ac86eb0c974ec03956c8090a9.png,True,3333.0,5000.0,0.67,5.6302103996276855,430.0409125277175,47.72277492947049,10.95533243815104,a model walks the runway at the dolcel show,a model walks down the runway in a sheered top and black pants,1.0,"(69, 426, 164, 331)",0.0,1.0,3.0,False,踢踏舞鞋色,深黑,黑白灰,"a full body view photo , a model walks the runway at the dolcel show , White Race","Women's Clothes for Autumn and Winter , Refined / Luxurious Style Achromatic Color Middle Trousers , XL Size , Chemical Fabric , O-Line Contour , No process Making Technology , Solid Color Texture",768,1152
